Flare Class,Start Time,Peak Time,End Time,Active Region Number,Harp Number,CME
M2.6,2015-05-05T17:12Z,2015-05-05T17:24Z,2015-05-05T17:30Z,12335,5526,No
M1.3,2015-05-05T14:19Z,2015-05-05T14:25Z,2015-05-05T14:32Z,12335,5526,No
X2.7,2015-05-05T22:05Z,2015-05-05T22:11Z,2015-05-05T22:15Z,12339,5541,2015-05-05T22:24:00-CME-001
M1.9,2015-05-05T09:42Z,2015-05-05T09:47Z,2015-05-05T09:51Z,12339,5541,No
M1.9,2015-05-06T11:45Z,2015-05-06T11:49Z,2015-05-06T11:51Z,12339,5541,No
M1.2,2015-05-05T13:45Z,2015-05-05T13:53Z,2015-05-05T13:56Z,12339,5541,No
M2.0,2015-06-14T00:52Z,2015-06-14T00:59Z,2015-06-14T01:09Z,12360,5637,No
M1.3,2015-06-13T07:20Z,2015-06-13T07:29Z,2015-06-13T07:47Z,12360,5637,No
M1.2,2015-06-18T00:33Z,2015-06-18T01:27Z,2015-06-18T01:55Z,12365,5653,No
M3.8,2015-06-21T09:38Z,2015-06-21T09:44Z,2015-06-21T09:50Z,12367,5673,No
M1.1,2015-06-21T18:10Z,2015-06-21T18:20Z,2015-06-21T18:28Z,12367,5673,No
M1.0,2015-06-11T08:49Z,2015-06-11T08:55Z,2015-06-11T08:59Z,12367,5673,No
M7.9,2015-06-25T08:02Z,2015-06-25T08:16Z,2015-06-25T09:05Z,12371,5692,2015-06-25T08:36:00-CME-001
M6.5,2015-06-22T17:39Z,2015-06-22T18:23Z,2015-06-22T18:51Z,12371,5692,2015-06-22T18:36:00-CME-001
M3.0,2015-06-18T16:30Z,2015-06-18T17:36Z,2015-06-18T18:25Z,12371,5692,2015-06-18T17:24:00-CME-001
M2.6,2015-06-21T02:04Z,2015-06-21T02:34Z,2015-06-21T03:11Z,12371,5692,2015-06-21T02:48:00-CME-001
M2.0,2015-06-21T01:02Z,2015-06-21T01:42Z,2015-06-21T02:00Z,12371,5692,2015-06-21T02:48:00-CME-001
M1.0,2015-06-20T06:28Z,2015-06-20T06:48Z,2015-06-20T07:09Z,12371,5692,No
M1.5,2015-07-03T12:47Z,2015-07-03T12:51Z,2015-07-03T12:53Z,12378,5738,No
M1.7,2015-07-06T20:32Z,2015-07-06T20:40Z,2015-07-06T20:50Z,12381,5745,No
M1.0,2015-07-06T08:24Z,2015-07-06T08:44Z,2015-07-06T08:59Z,12381,5745,No
M5.6,2015-08-24T07:26Z,2015-08-24T07:33Z,2015-08-24T07:35Z,12403,5885,No
M3.5,2015-08-22T21:19Z,2015-08-22T21:24Z,2015-08-22T21:28Z,12403,5885,No
M2.9,2015-08-27T04:48Z,2015-08-27T05:44Z,2015-08-27T06:03Z,12403,5885,No
M2.2,2015-08-22T13:17Z,2015-08-22T13:23Z,2015-08-22T13:29Z,12403,5885,No
M2.2,2015-08-28T13:04Z,2015-08-28T13:16Z,2015-08-28T13:23Z,12403,5885,No
